Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,1,19,5,2015,2015,2054,2054,US,29,NA,39,39,NA,0,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,2025,2015,2102,2054,US,29,NA,37,39,NA,8,10,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,2017,2015,2054,2054,US,29,NA,37,39,NA,0,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,2013,2015,2050,2054,US,29,NA,37,39,NA,-4,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,23,2,2033,2015,2113,2054,US,29,NA,40,39,NA,19,18,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,24,3,2013,2015,2052,2054,US,29,NA,39,39,NA,-2,-2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,25,4,2057,2015,2139,2054,US,29,NA,42,39,NA,45,42,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,26,5,2017,2015,2052,2054,US,29,NA,35,39,NA,-2,2,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,27,6,2016,2015,2100,2054,US,29,NA,44,39,NA,6,1,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,28,7,2015,2015,2051,2054,US,29,NA,36,39,NA,-3,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,29,1,2015,2015,2053,2054,US,29,NA,38,39,NA,-1,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,30,2,2020,2015,2100,2054,US,29,NA,40,39,NA,6,5,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,31,3,2015,2015,2057,2054,US,29,NA,42,39,NA,3,0,LAX,SAN,109,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,1,1,1507,1430,1618,1554,US,29,NA,71,84,NA,24,37,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,2,2,1518,1430,1651,1554,US,29,NA,93,84,NA,57,48,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,3,3,1508,1430,1631,1554,US,29,NA,83,84,NA,37,38,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1528,1430,1651,1554,US,29,NA,83,84,NA,57,58,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1429,1430,1556,1554,US,29,NA,87,84,NA,2,-1,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1447,1430,1602,1554,US,29,NA,75,84,NA,8,17,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,7,7,1440,1430,1609,1554,US,29,NA,89,84,NA,15,10,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1446,1430,1603,1554,US,29,NA,77,84,NA,9,16,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1548,1430,1711,1554,US,29,NA,83,84,NA,77,78,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1430,1430,1543,1554,US,29,NA,73,84,NA,-11,0,PHL,CMH,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
